intent,response,utter_send_link,utter_ask_more,featureless
RECOMMEND_LENGTH-LONG,기장감 있는 <CLOTHES-TYPE_FEATURE> 추천을 희망하시는군요. / <CLOTHES-TYPE_FEATURE> 중에 기장감 있는 상품 추천을 원하시는군요.,아래에서 구매하신 분들이 베스트로 추천하신 상품들을 보여드릴게요!,도움이 되셨나요? 다른 도움이 더 필요하시면 말씀해 주세요.,"죄송합니다. ""길이가 긴 원피스를 추천해줘""와 같이 구체적인 상품을 말씀해 주시겠어요?"
RECOMMEND_LENGTH-SHORT,길이가 길지 않은 <CLOTHES-TYPE_FEATURE> 추천을 희망하시는군요. / <CLOTHES-TYPE_FEATURE> 중에 길이가 길지 않은 상품 추천을 원하시는군요.,아래에서 구매하신 분들이 베스트로 추천하신 상품들을 보여드릴게요!,도움이 되셨나요? 다른 도움이 더 필요하시면 말씀해 주세요.,"죄송합니다. ""기장이 짧은 원피스를 추천해줘""와 같이 구체적인 상품을 말씀해 주시겠어요?"
RECOMMEND_SLEEVES-LONG,소매길이가 긴 디자인의 <CLOTHES-TYPE_FEATURE> 추천을 희망하시는군요. /  <CLOTHES-TYPE_FEATURE> 중에 소매길이가 긴 디자인의 상품 추천을 원하시는군요.,아래에서 구매하신 분들이 베스트로 추천하신 상품들을 보여드릴게요!,도움이 되셨나요? 다른 도움이 더 필요하시면 말씀해 주세요.,"죄송합니다. ""소매 길이가 긴 원피스를 추천해줘""와 같이 구체적인 상품을 말씀해 주시겠어요?"
RECOMMEND_SLEEVES-SHORT,소매길이가 짧은 디자인의 <CLOTHES-TYPE_FEATURE> 추천을 희망하시는군요. / <CLOTHES-TYPE_FEATURE> 중에 소매길이가 짧은 디자인의 상품 추천을 원하시는군요.,아래에서 구매하신 분들이 베스트로 추천하신 상품들을 보여드릴게요!,도움이 되셨나요? 다른 도움이 더 필요하시면 말씀해 주세요.,"죄송합니다. ""소매 길이가 짧은 원피스를 추천해줘""와 같이 구체적인 상품을 말씀해 주시겠어요?"
RECOMMEND_FABRIC-TYPE,말씀하신 소재의 <CLOTHES-TYPE_FEATURE> 추천을 희망하시는군요. /  <CLOTHES-TYPE_FEATURE> 중에 해당 소재로 된 상품 추천을 원하시는군요.,아래에서 구매하신 분들이 베스트로 추천하신 상품들을 보여드릴게요!,도움이 되셨나요? 다른 도움이 더 필요하시면 말씀해 주세요.,"죄송합니다. ""원단이 린넨인 원피스를 추천해줘""와 같이 구체적인 상품을 말씀해 주시겠어요?"
RECOMMEND_FABRIC-THIN,가벼운 소재의 <CLOTHES-TYPE_FEATURE> 추천을 희망하시는군요. / <CLOTHES-TYPE_FEATURE> 중에 가벼운 소재의 상품 추천을 원하시는군요.,아래에서 구매하신 분들이 베스트로 추천하신 상품들을 보여드릴게요!,도움이 되셨나요? 다른 도움이 더 필요하시면 말씀해 주세요.,"죄송합니다. ""가벼운 소재의 원피스를 추천해줘""와 같이 구체적인 상품을 말씀해 주시겠어요?"
RECOMMEND_FABRIC-THICK,도톰한 소재의 <CLOTHES-TYPE_FEATURE> 추천을 희망하시는군요. /  <CLOTHES-TYPE_FEATURE> 중에 도톰한 소재의 상품 추천을 원하시는군요.,아래에서 구매하신 분들이 베스트로 추천하신 상품들을 보여드릴게요!,도움이 되셨나요? 다른 도움이 더 필요하시면 말씀해 주세요.,"죄송합니다. ""도톰한 소재의 원피스를 추천해줘""와 같이 구체적인 상품을 말씀해 주시겠어요?"
RECOMMEND_FABRIC-THERMAL,따뜻하고 보온성 좋은 소재의 <CLOTHES-TYPE_FEATURE> 추천을 희망하시는군요. / <CLOTHES-TYPE_FEATURE> 중에 따뜻하고 보온성 좋은 소재의 상품 추천을 원하시는군요.,아래에서 구매하신 분들이 베스트로 추천하신 상품들을 보여드릴게요!,도움이 되셨나요? 다른 도움이 더 필요하시면 말씀해 주세요.,"죄송합니다. ""보온성이 좋은 원피스를 추천해줘""와 같이 구체적인 상품을 말씀해 주시겠어요?"
RECOMMEND_FABRIC-OPAQUE,비침이 없는 소재의 <CLOTHES-TYPE_FEATURE> 추천을 희망하시는군요. / <CLOTHES-TYPE_FEATURE> 중에 비침의 없는 소재의 상품 추천을 원하시는군요.,아래에서 구매하신 분들이 베스트로 추천하신 상품들을 보여드릴게요!,도움이 되셨나요? 다른 도움이 더 필요하시면 말씀해 주세요.,"죄송합니다. ""비치지 않는 원피스를 추천해줘""와 같이 구체적인 상품을 말씀해 주시겠어요?"
RECOMMEND_FABRIC-WRINKLE,구김이 없는 소재의 <CLOTHES-TYPE_FEATURE> 추천을 희망하시는군요. / <CLOTHES-TYPE_FEATURE> 중에 구김이 없는 소재의 상품 추천을 원하시는군요.,아래에서 구매하신 분들이 베스트로 추천하신 상품들을 보여드릴게요!,도움이 되셨나요? 다른 도움이 더 필요하시면 말씀해 주세요.,"죄송합니다. ""구김이 없는 원피스를 추천해줘""와 같이 구체적인 상품을 말씀해 주시겠어요?"
